address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"11515 N 91st St UNIT 140, Scottsdale, AZ 85260",2,2,1270,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-140-Scottsdale-AZ-85260/8059188_zpid/,-111.883,33.5903,422.992,rental,1395,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH
"14000 N 94th St UNIT 1169, Scottsdale, AZ 85260",2,2,1279,zillow_ph,http://www.zillow.com/homedetails/14000-N-94th-St-UNIT-1169-Scottsdale-AZ-85260/62731602_zpid/,-111.881,33.6125,443.926,rental,1250,closed,2,2015-09-29,2015-09-27,North Scottsdale,94,PH
"13980 E Kalil Dr, Scottsdale, AZ 85259",3,2,2343,zillow_ph,http://www.zillow.com/homedetails/13980-E-Kalil-Dr-Scottsdale-AZ-85259/8045755_zpid/,-111.779,33.591,541.29,rental,2600,open,,,2015-09-26,North Scottsdale,94,PH
"15550 N Frank Lloyd Wright Blvd UNIT 1035, Scottsdale, AZ 85260",3,2,1656,zillow_ph,http://www.zillow.com/homedetails/15550-N-Frank-Lloyd-Wright-Blvd-UNIT-1035-Scottsdale-AZ-85260/8042605_zpid/,-111.882,33.627,457.957,rental,1650,open,,,2015-09-26,North Scottsdale,94,PH
"7979 E Princess Dr, Scottsdale, AZ 85255",3,3,2253,zillow_ph,http://www.zillow.com/homedetails/7979-E-Princess-Dr-Scottsdale-AZ-85255/8015518_zpid/,-111.91,33.6412,471.346,rental,3000,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH
"15692 N 104th St, Scottsdale, AZ 85255",4,2,1963,zillow_ph,http://www.zillow.com/homedetails/15692-N-104th-St-Scottsdale-AZ-85255/8042869_zpid/,-111.857,33.6288,487.146,rental,1995,open,,,2015-09-28,North Scottsdale,94,PH
"6885 E Cochise Rd APT 132, Paradise Valley, AZ 85253",2,2,1049,zillow_ph,http://www.zillow.com/homedetails/6885-E-Cochise-Rd-APT-132-Paradise-Valley-AZ-85253/7866491_zpid/,-111.934,33.5792,410.603,rental,1400,open,,,2015-09-28,North Scottsdale,94,PH
"9990 N Scottsdale Rd APT 1005, Scottsdale, AZ 85253",2,2,973,zillow_ph,http://www.zillow.com/homedetails/9990-N-Scottsdale-Rd-APT-1005-Scottsdale-AZ-85253/65437590_zpid/,-111.928,33.576,409.509,rental,1195,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
"24593 N 117th St, Scottsdale, AZ 85255",4,3,3368,zillow_ph,http://www.zillow.com/homedetails/24593-N-117th-St-Scottsdale-AZ-85255/8062753_zpid/,-111.829,33.709,793.824,rental,3500,open,,,2015-09-28,North Scottsdale,94,PH
"8027 E Del Timbre Dr, Scottsdale, AZ 85258",3,3,2778,zillow_ph,http://www.zillow.com/homedetails/8027-E-Del-Timbre-Dr-Scottsdale-AZ-85258/7867135_zpid/,-111.907,33.5726,409.598,rental,2675,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
"10449 N 69th St # 127, Paradise Valley, AZ 85253",1,1,804,zillow_ph,http://www.zillow.com/homedetails/10449-N-69th-St-127-Paradise-Valley-AZ-85253/2100996026_zpid/,-111.933,33.5805,411.571,rental,1000,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
"12592 E Doubletree Ranch Rd, Scottsdale, AZ 85259",4,2,3212,zillow_ph,http://www.zillow.com/homedetails/12592-E-Doubletree-Ranch-Rd-Scottsdale-AZ-85259/8053185_zpid/,-111.809,33.5688,456.421,rental,4000,open,,,2015-09-29,North Scottsdale,94,PH
"10421 N 77th Pl, Scottsdale, AZ 85258",4,3,2669,zillow_ph,http://www.zillow.com/homedetails/10421-N-77th-Pl-Scottsdale-AZ-85258/7865761_zpid/,-111.914,33.5808,412.096,rental,2700,open,,,2015-09-29,North Scottsdale,94,PH
"E Redfield Rd Scottsdale, AZ 85260",2,2,1300,zillow_ph,http://www.zillow.com/homedetails/E-Redfield-Rd-Scottsdale-AZ-85260/2105452924_zpid/,-111.9,33.6136,440.124,rental,1500,closed,2,2015-10-01,2015-09-29,North Scottsdale,94,PH
"11260 N 92nd St APT 2113, Scottsdale, AZ 85260",2,2,1145,zillow_ph,http://www.zillow.com/homedetails/11260-N-92nd-St-APT-2113-Scottsdale-AZ-85260/8063978_zpid/,-111.884,33.5886,422.578,rental,1100,open,,,2015-09-30,North Scottsdale,94,PH
"11675 N 91st Ln, Scottsdale, AZ 85260",4,2,1936,zillow_ph,http://www.zillow.com/homedetails/11675-N-91st-Ln-Scottsdale-AZ-85260/8058932_zpid/,-111.884,33.5931,424.974,rental,1995,closed,920,2015-10-06,2013-03-30,North Scottsdale,94,PH
"18171 N 93rd St, Scottsdale, AZ 85255",3,2,2509,zillow_ph,http://www.zillow.com/homedetails/18171-N-93rd-St-Scottsdale-AZ-85255/71602181_zpid/,-111.881,33.6502,497.319,rental,3500,closed,,2015-10-06,,North Scottsdale,94,PH
"20100 N 78th Pl APT 2093, Scottsdale, AZ 85255",1,1,930,zillow_ph,http://www.zillow.com/homedetails/20100-N-78th-Pl-APT-2093-Scottsdale-AZ-85255/67806350_zpid/,-111.911,33.6682,512.78,rental,900,closed,4,2015-10-03,2015-09-29,North Scottsdale,94,PH
"9551 E Redfield Rd UNIT 1020, Scottsdale, AZ 85260",2,2,1280,zillow_ph,http://www.zillow.com/homedetails/9551-E-Redfield-Rd-UNIT-1020-Scottsdale-AZ-85260/81952849_zpid/,-111.875,33.6149,445.712,rental,3000,closed,3,2015-10-03,2015-09-30,North Scottsdale,94,PH
"6940 E Cochise Rd UNIT 1044, Scottsdale, AZ 85253",2,2,1046,zillow_ph,http://www.zillow.com/homedetails/6940-E-Cochise-Rd-UNIT-1044-Scottsdale-AZ-85253/82827722_zpid/,-111.931,33.5807,411.272,rental,1825,closed,3,2015-10-03,2015-09-30,North Scottsdale,94,PH
